algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,melhor,16384,6,0.0576477999566122,0.0625,421566,226058,234250.0,0,
heap_sort,melhor,16384,7,0.0550902000395581,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,8,0.0546483999933116,0.0625,421566,226058,234250.0,0,
heap_sort,melhor,16384,9,0.0543866999796591,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,10,0.0556106999865733,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,11,0.0569912999635562,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,12,0.052633200015407,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,16384,13,0.0588760999962687,0.0625,421566,226058,234250.0,0,
heap_sort,melhor,16384,14,0.053408199979458,0.0625,421566,226058,234250.0,0,
heap_sort,melhor,16384,15,0.0559221000294201,0.046875,421566,226058,234250.0,0,
heap_sort,melhor,65536,1,0.2360050000133924,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,2,0.2727146999677643,0.265625,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,3,0.2476681999978609,0.25,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,4,0.2380443000001832,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,5,0.2326188000151887,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,6,0.2321159000275656,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,7,0.2363580000237561,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,8,0.2366031999699771,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,9,0.2305026999674737,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,10,0.2314071000437252,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,11,0.2360733000095933,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,12,0.2417282999958843,0.25,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,13,0.2332281999988481,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,14,0.2370327000389807,0.21875,1948406,1034492,1067260.0,0,
heap_sort,melhor,65536,15,0.232656100008171,0.234375,1948406,1034492,1067260.0,0,
heap_sort,melhor,262144,1,1.072446799953468,1.078125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,2,1.0444882999872789,1.03125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,3,1.0360897000064142,1.03125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,4,1.0258997000055388,1.03125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,5,1.032249000039883,1.03125,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,6,1.0602400000207126,1.0,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,7,1.04747769999085,1.046875,8849195,4664612,4795684.0,0,
heap_sort,melhor,262144,8,1.0651048000436276,1.03125,8849195,4664612,4795684.0,0,
